Цветков Борис Давыдович;Псебай;наб. Крылова, д. 86 стр. 6/3;ВО ЖДТ России;Зенитчик;+7 039 608 73 30;bogdanvinogradov@hotmail.com;1973-12-05;76840
Рябова Евгения Александровна;Партизанск;ул. Краснофлотская, д. 70 к. 6/4;ПТК Уголь;Военно-полевой хирург;8 040 053 2839;romanoviosif@hotmail.com;1944-02-01;84790
Потапов Нестор Артемьевич;Токма;пр. Кольцевой, д. 199;Марс (Mars);Политолог;+7 442 593 78 87;roman2016@gmail.com;1964-11-27;38187
Шарова Алла Антоновна;Джейрах;ш. Загородное, д. 12 к. 87;Нефтепродукттрейд;Шорник;8 824 733 59 18;voronovdobromisl@gmail.com;1941-12-27;46807
Рогова Феврония Тарасовна;Кедровый;пр. Новостройка, д. 8/1;Самсунг Электроникс Рус Калуга (Samsung);Кнопочник;8 060 573 91 93;mina1997@mail.ru;2001-12-19;166912
Зиновьева София Дмитриевна;Глазов;алл. Маркса Карла, д. 276 стр. 71;ГК Транстехсервис;Шифровальщик;+7 055 065 2226;dementevaevfrosinija@mail.ru;2003-03-28;165028
Анисимова Анастасия Борисовна;Киров (Вятка);пр. Советов, д. 7/7;Автозаправочные комплексы Atan;Зоолог;+7 532 002 1779;polikarp57@mail.ru;1962-10-07;52505
Людмила Антоновна Кириллова;Агинское (Забайк.);бул. Кавказский, д. 680 стр. 557;Российские железные дороги;Нейрохирург;+7 (662) 603-98-76;beljakovpimen@mail.ru;1944-03-19;109338
Воронцов Мартын Игнатович;Александровск-Сахалинский;ш. Ветеранов, д. 794 стр. 9;Гиперглобус (Bruch-Beteiligungs);Гидролог;8 (065) 342-26-40;vladimir07@yandex.ru;2001-07-15;192316
Сорокина Антонина Степановна;Токма;пр. Мичурина, д. 795 стр. 1/6;Сэтл групп;Системный администратор;+7 476 251 0790;martin1993@yahoo.com;1949-03-31;89476
Исаев Фома Всеволодович;Усолье Сибирское;пер. Розы Люксембург, д. 35;Хенкель Рус (Henkel);Сомелье;88009861927;nazarovjakov@yandex.ru;1943-10-08;167856
Прасковья Вадимовна Белова;Томпа;пр. Набережный, д. 33;Группа компаний Пионер;Диспетчер;8 (617) 402-29-30;fortunat_71@gmail.com;1995-10-23;98263
Данилов Михаил Ерофеевич;Чокурдах;наб. Вавилова, д. 48 стр. 274;ФГ Будущее;Водитель;+72795080250;dmitrievstojan@yandex.ru;1957-10-30;75136
Феофан Измаилович Волков;Суздаль;ш. Чайкиной, д. 6/2 стр. 1;Корпорация ВСМПО-АВИСМА;Токсиколог;+7 334 402 8367;silafilatov@mail.ru;1962-04-26;127926
Наумова Лукия Геннадиевна;Серов;алл. Монтажников, д. 4/3;DDS;Инженер-лесотехник;81071648848;kira_2006@yahoo.com;2001-02-13;187695
тов. Шашков Радислав Антонович;Уфа;наб. Беляева, д. 2 к. 14;Сегежа;Гидролог;8 (683) 144-44-35;ignatevaraisa@rambler.ru;1949-11-04;41115
Нинель Тарасовна Кулакова;Вендинга;пер. Волочаевский, д. 405 к. 81;Данон  (Danone);Администратор базы данных;8 892 219 5084;nikola2018@gmail.com;2003-12-02;105594
Филарет Германович Капустин;Саянск;пр. Линейный, д. 2/3 к. 40;Рено Россия (Renault);Автоэлектрик;+7 270 042 3636;kallistratmerkushev@mail.ru;1998-02-17;34227
Илья Эдгарович Борисов;Каспийск;ш. Аэродромное, д. 485;Хендэ Мотор СНГ (Hyundai);Инженер-химик;8 (014) 184-32-07;tit_1988@hotmail.com;1945-04-24;26885
Александрова Элеонора Владиславовна;Яхрома;алл. Подлесная, д. 1/1 стр. 6/6;Техинком;Следователь;8 (477) 122-08-58;mamontovdemjan@gmail.com;1979-06-14;21275
Станислав Владиленович Беспалов;Барнаул;наб. Радужная, д. 660;Российские сети;Невролог;+7 909 057 7122;wsavin@mail.ru;1970-03-28;136493
Любовь Семеновна Сазонова;Муром;пр. Колхозный, д. 6 стр. 934;Хенкель Рус (Henkel);Сурдолог;+7 (753) 566-69-75;ilarionmaslov@gmail.com;1959-09-05;72396
Кондратьев Кузьма Владиславович;Щелково;бул. Зеленый, д. 2;UCL Holding;Гляциолог;83557253838;cbogdanova@gmail.com;1990-11-15;114336
Елисеев Лев Дмитриевич;Сладково;ш. Урицкого, д. 23 к. 8;ВкусВилл;Каменотёс;+74644553433;mitofan_45@yahoo.com;1944-02-29;23762
Тимур Артёмович Сазонов;Темрюк;ш. Хвойное, д. 2/7;Мобильные телесистемы;Ревматолог;+7 (914) 512-5048;klavdi55@hotmail.com;1952-02-08;152641
Кошелева Светлана Семеновна;Диксон;пер. Сплавный, д. 1 стр. 83;Металлокомплект-М;Фотомодель;8 (967) 644-24-63;kabanovmili@gmail.com;1984-03-01;26330
Никитина Регина Игоревна;Пушкинские Горы;бул. Аэродромный, д. 818 стр. 9;Почта России;Бактериолог;+7 406 568 90 16;teterinnarkis@hotmail.com;1987-05-12;173092
Дроздов Арефий Феоктистович;Ардон;пр. З.Космодемьянской, д. 1/1 к. 274;ПК Балтика (Carlsbergfondet);Монтажник;+7 (521) 623-4098;kulaginzinovi@hotmail.com;1953-06-18;171634
Степанова Евгения Станиславовна;Амурск;пер. Шолохова, д. 592;Группа компаний ПИК;Эндоскопист;+7 122 237 2046;elena1992@hotmail.com;1995-06-12;21867
Фаина Святославовна Галкина;Слюдянка;алл. Енисейская, д. 86;Фармимэкс;Проректор;81267413909;fzimina@hotmail.com;1976-09-07;149780
Евгения Яковлевна Журавлева;Печора;бул. Ленинский, д. 3;Элко Рус (Elko);Лётчик;8 689 832 3757;ezhukov@yahoo.com;1936-05-01;136394
Азарий Игнатович Евдокимов;Ногинск (Моск.);ш. Донское, д. 1 стр. 8/4;АНГК;Командир;8 622 012 05 39;vladimirovavera@yahoo.com;2003-05-26;144987
Одинцова Алла Харитоновна;Бодайбо;ш. Деповское, д. 2/8;Группа Илим;Автогонщик;8 954 869 48 92;mili_68@yahoo.com;1937-10-07;190692
Котов Епифан Якубович;Старый Оскол;ул. Космическая, д. 504;Familia;Логопед;8 (318) 072-06-05;mihalovaklavdija@hotmail.com;1952-07-01;74543
Панфилов Федор Владиславович;Мончегорск;пер. Верхний, д. 845 стр. 9/9;Кари;Кинолог;8 (292) 367-30-05;nazarovvelimir@rambler.ru;1968-07-20;134704
Лора Алексеевна Колобова;Палана;алл. Спортивная, д. 7/6 к. 6;Сталепромышленная компания;Фортификатор;+7 (466) 278-4893;uljana_2002@rambler.ru;1962-02-21;144642
Носов Устин Жоресович;Снежинск;ш. Победы, д. 3/9;ФортеИнвест;Дирижёр;8 (157) 835-1034;karl_50@yandex.ru;1937-01-24;146024
Алексеева Наина Георгиевна;Тутаев;алл. Загородная, д. 724 к. 757;Стройгазмонтаж;Инженер КИПиА;+7 054 127 54 68;valerija15@mail.ru;1936-06-21;122541
Василиса Геннадьевна Гусева;Избербаш;ш. Гаражное, д. 180;Катрен;Машинист;8 (703) 475-3370;gedeon_43@yandex.ru;1977-08-07;175253
Ия Петровна Кулагина;Ноглики;пр. Карла Либкнехта, д. 894;Гала-Форм;Кок;+7 (349) 536-62-46;dobromisl_08@hotmail.com;1987-10-10;68611
Ксения Юрьевна Белоусова;Раменское;ш. Зои Космодемьянской, д. 396 к. 88;ФГ Будущее;Упаковщик;8 (129) 047-3373;semen2016@yahoo.com;1998-01-02;31718
Гусев Евгений Арсеньевич;Шатура;алл. Ягодная, д. 7 к. 162;СОГАЗ;Косметолог;8 (330) 099-51-93;ikomarova@yandex.ru;1977-11-16;172791
Лаврентьев Демид Гаврилович;Красноярск;ул. Гражданская, д. 4/6 стр. 61;Петропавловск;Священнослужитель;+72775462558;dementevladimir@rambler.ru;1977-05-20;64039
Петухов Анисим Димитриевич;Кажим;наб. Луначарского, д. 38;Российские железные дороги;Эколог;8 104 601 07 60;ladislav_2004@yahoo.com;1957-04-20;94690
Филимон Артёмович Кузьмин;Тавда;пер. Марта 8, д. 7/9 стр. 15;ГК ЕКС;Военный консультант;+7 (888) 790-0182;panfilovairaida@rambler.ru;1984-06-25;124327
Орлова Ирина Тимофеевна;Каргасок;бул. Розы Люксембург, д. 7/8;Торговая сеть Красное и Белое;Финансист;8 384 924 0283;efimovoleg@yahoo.com;1989-06-06;197661
Евпраксия Юрьевна Комиссарова;Рубцовск;бул. Мая 1, д. 20 к. 5;ГМК Сплав;Оператор коллцентра;+7 (264) 923-9634;grigori_1974@hotmail.com;1971-07-27;108852
Ян Матвеевич Сидоров;Аша;ул. Советская, д. 33 стр. 4;СК Согласие;Радиомеханик;8 (622) 250-93-66;averki30@yandex.ru;1991-09-11;90853
Туров Фотий Глебович;Пермь;бул. Пушкина, д. 8/5 к. 556;Сибирская горно-металлургическая компания;Булочник;8 (881) 792-56-28;mihail2015@rambler.ru;1964-12-22;144584
Митофан Анатольевич Кудрявцев;Кежма;ш. Петровское, д. 2/2 к. 60;Славянск Эко;Кладовщик;8 (993) 404-4652;pahom_35@rambler.ru;1972-03-22;176173
Жанна Анатольевна Воронова;Чикола;алл. Боровая, д. 252 к. 3;ФГ Будущее;Веб-программист;8 948 230 9098;petrnovikov@gmail.com;1977-12-13;125746
Клавдия Григорьевна Логинова;Благовещенск (Амур.);ш. Октябрьское, д. 946 к. 835;Северсталь;Подводник;+73358125863;belovkasjan@yahoo.com;1977-09-25;48161
Селиван Федотович Зимин;Белорецк;алл. Хуторская, д. 1 к. 307;Углетранс;Работник органов ЗАГСа;8 824 299 79 31;ribakovmir@rambler.ru;1973-05-29;160154
Радислав Елисеевич Беспалов;Шатура;бул. 50 лет Октября, д. 687 стр. 8/4;Mail.Ru Group;Машинист;86559250359;harlampi_99@gmail.com;2001-05-22;89492
Галина Артемовна Фомина;Всеволожск;алл. Кольцевая, д. 8 стр. 6/4;Металлокомплект-М;Водитель;8 773 481 29 85;nina_2018@gmail.com;1961-01-29;117425
Шестаков Аггей Борисович;Невьянск;ул. Энергетиков, д. 7/6;СК Согласие;Адвокат;+7 655 699 5823;arkadi2009@yahoo.com;1966-01-07;59943
Евсеева Ия Антоновна;Новороссийка;ш. Коллективное, д. 5/9 стр. 8;Иркутская нефтяная компания;Телохранитель;8 (724) 838-2667;david_24@rambler.ru;1989-10-11;40378
Дорофеев Емельян Зиновьевич;Урюпинск;ш. Коммунаров, д. 380 к. 30;Фольксваген Груп Рус;Повар;+7 216 143 33 52;pavlovsolomon@rambler.ru;1971-11-11;167028
Зинаида Станиславовна Шубина;Мурманск;наб. Свободная, д. 15;Национальная компьютерная корпорация;Логопед;+7 (108) 459-6478;golubevvarlaam@yahoo.com;1973-10-30;119967
Галина Афанасьевна Жданова;Зеленогорск (Ленин.);ул. Монтажников, д. 4/1 к. 94;Новосибирскэнергосбыт;Торакальный хирург;+73407165029;anzhela1972@yahoo.com;1974-08-18;145868
Самсонов Макар Харлампович;Обнинск;пр. Сосновый, д. 9;Ман Трак Энд Бас Рус (Volkswagen);Табаковод;85865456729;suhanovereme@gmail.com;1966-07-29;35225
Ларионов Софон Евсеевич;Поронайск;пр. Харьковский, д. 7;Мособлгаз;Ортодонт;8 863 114 1515;sofon2014@hotmail.com;1985-10-25;47844
Ковалев Никифор Давидович;Усть-Кулом;ул. Толбухина, д. 7/5 к. 990;ВО Машиноимпорт;Официант;+7 (349) 975-04-11;gushchinaraisa@hotmail.com;1999-09-15;85986
Пелагея Вадимовна Прохорова;Курильск;пер. Рылеева, д. 6/3 к. 800;Группа компаний ПИК;Военный юрист;8 (688) 309-7517;andreevsidor@yahoo.com;1938-08-06;128273
Вероника Никифоровна Гришина;Шадринск;пр. Коммунистический, д. 2;Кари;Сантехник;8 738 496 22 88;oleg_90@yandex.ru;1950-12-04;195117
Вероника Рубеновна Пономарева;Туапсе;наб. Октябрьская, д. 7/3;БАСФ (BASF);Радист;+7 (963) 220-22-99;germanavdeev@rambler.ru;1990-02-28;85761
Пелагея Аскольдовна Виноградова;Каменномостский;ул. Горняцкая, д. 505 к. 956;Петролеум Трейдинг;Оториноларинголог;+7 411 254 65 58;kveselov@yahoo.com;1984-12-28;186867
Щербакова Анжелика Борисовна;Киров (Вятка);наб. Космонавтов, д. 1 к. 766;Армтек;Радиотелефонист;+7 (616) 915-85-73;zosima_33@rambler.ru;1958-11-19;108056
Котова Лукия Алексеевна;Юровск;ул. Литейная, д. 972 стр. 423;Объединенная энергетическая компания;Логик;8 (604) 485-5186;cponomareva@hotmail.com;1974-08-23;144753
Хохлов Моисей Владленович;Карачаевск;бул. Короленко, д. 41 к. 5/1;Татэнерго;Автослесарь;+7 647 138 27 60;fedor24@gmail.com;1993-02-11;132499
Князева Александра Григорьевна;Пинега;ул. Юности, д. 223 к. 218;Модум-транс;Редактор;+7 648 725 95 27;dementevtverdislav@yahoo.com;1968-02-13;33568
Карпова Фаина Ефимовна;Углегорск;ул. Народная, д. 6/3;Спортмастер;Стоматолог;+7 619 235 59 53;jakovlevavasilisa@yahoo.com;1944-05-09;100309
Бурова Лора Ефимовна;Красноселькуп;ш. Клары Цеткин, д. 1 к. 8/9;Шнейдер Электрик (Schneider Electric);Маляр;+7 (347) 284-28-44;tsemenova@yahoo.com;2001-07-07;31218
Симонова Ирина Богдановна;Североморск;бул. Гражданский, д. 7/2;Брок-Инвест-Сервис и К;Патологоанатом;+7 (530) 780-5883;ljubov60@gmail.com;1951-05-19;70061
Ольга Ивановна Орлова;Липецк;пр. Максима Горького, д. 41 к. 9;Протек;Скульптор;+7 492 745 49 33;efremovatatjana@rambler.ru;1961-10-23;190631
Фаина Васильевна Панова;Карабудахкент;алл. Веселая, д. 2/6 стр. 5/9;Уральские локомотивы;Швейцар;+70510678957;fokinaanzhela@hotmail.com;2002-05-26;21441
Потапова Антонина Ильинична;Троицко-Печорск;наб. Карбышева, д. 9 к. 85;Проктер Энд Гэмбл. Дистрибьюторская компания (Procter & Gamble);Хореограф;+74041132526;zhuravleviosif@gmail.com;1996-12-27;125741
Раиса Кузьминична Виноградова;Поярково;пер. Курчатова, д. 61 к. 7;Акрон;Копирайтер;8 539 021 92 24;karp58@rambler.ru;1974-12-31;136256
Ильин Пимен Валерьянович;Шатой;наб. Тукая, д. 4 стр. 8/1;ПК Борец;Военный дознаватель;8 678 185 1344;lobanovaalla@mail.ru;1983-06-03;175249
Регина Тимуровна Михайлова;Старый Оскол;пр. Николаева, д. 801;Газпром;Дилер;+7 737 039 9039;varlaam00@gmail.com;1952-03-23;123162
Лобанов Мина Дорофеевич;Черняховск;пр. Кубанский, д. 1;Азбука вкуса;Мануалист;+7 538 749 1962;avgust_67@mail.ru;1998-04-29;182234
Август Исидорович Тихонов;Кингисепп;пр. Р.Люксембург, д. 9;Roust;Упаковщик;+7 948 869 99 68;suhanovsokrat@gmail.com;1975-01-22;112201
Зуева Элеонора Александровна;Белорецк;пер. Островского, д. 3 стр. 7/8;Нефтиса;Организатор свадеб;8 (417) 764-4613;knjazevivan@gmail.com;1992-09-07;64675
Алина Геннадиевна Горшкова;Сосногорск;пр. Крупской, д. 613 стр. 4;Джонсон & Джонсон (Johnson & Johnson);Клинер;8 632 282 94 02;anna_61@rambler.ru;1991-08-08;182601
Полина Семеновна Князева;Печора;алл. Пирогова, д. 7/4;Снежная Королева;Драпировщик;+7 136 827 4091;kir_1984@hotmail.com;1957-11-29;139098
Осипова Лариса Аскольдовна;Малгобек;наб. Снежная, д. 482;ГК Орими Трэйд;Композитор;8 (844) 769-35-32;jakov2009@rambler.ru;1987-05-04;54979
Клавдия Богдановна Морозова;Карпинск;алл. Украинская, д. 344;ТМК;Мастер маникюра;+7 (702) 217-93-76;egor55@gmail.com;1998-08-09;171248
Капитон Федосьевич Молчанов;Тамбей;ш. Пожарского, д. 8 к. 50;Московский аэропорт Домодедово;Маркетолог;+7 090 334 1885;polina_2003@mail.ru;1948-07-01;59628
Белякова Евпраксия Артемовна;Андреаполь;бул. Транспортный, д. 1;Группа РЕСО;Историк;+72800543000;blinovelise@mail.ru;1963-12-13;169683
Богдан Жоресович Антонов;Билибино;ш. Маркса, д. 5/6;Метафракс;Ихтиолог;+7 (369) 850-33-82;julija_1995@rambler.ru;1981-01-08;92840
Людмила Егоровна Петухова;Тавда;бул. Менделеева, д. 82 к. 2/8;Уральский банк реконструкции и развития;Психотерапевт;+76333199550;ernest82@mail.ru;1998-10-28;162787
Евгений Артурович Миронов;Ставрополь;пр. Кузнечный, д. 5/8;Международный аэропорт Шереметьево;Миколог;+7 (937) 217-4548;davidovvladislav@hotmail.com;1975-05-09;106937
Тамара Кузьминична Осипова;Шарья;бул. Чапаева, д. 9 стр. 464;ЛокоТех;Портье;8 (511) 422-5058;mitofan92@mail.ru;1996-01-12;20439
Нина Максимовна Пономарева;Усолье Сибирское;пер. Совхозный, д. 253 стр. 9;Нова;Контент-менеджер;+7 593 736 5582;konstantin85@rambler.ru;1972-05-11;120677
Алла Юрьевна Миронова;Шумиха;пр. Фадеева, д. 3 к. 805;ГК Мегаполис;Футуролог;+7 (173) 908-2070;pavel_53@mail.ru;1971-02-11;133109
Лыткина Фёкла Михайловна;Бомнак;наб. Ударная, д. 1;Башкирская содовая компания;Программист;+7 680 338 1776;valeri92@rambler.ru;1941-08-14;159837
Азарий Бориславович Галкин;Ершов;ул. Школьная, д. 6 к. 75;Автодом;Булочник;+7 905 535 9494;lazar_1985@yahoo.com;1995-11-22;156394
Игнатова Ия Григорьевна;Кировск (Мурм.);ул. Рябиновая, д. 7 к. 83;Трансмашхолдинг;Донкерман;8 (714) 599-4631;ignatovaangelina@yahoo.com;2001-01-28;136747
Муравьев Арсений Абрамович;Салехард;бул. Безымянный, д. 3;ГСЛ;Машинист локомотива;8 (418) 154-9567;dmitrievsilanti@yandex.ru;1996-02-29;174246
Лонгин Феоктистович Бобров;Черемхово;ул. 70 лет Октября, д. 30 стр. 15;Белгранкорм-холдинг;Жиловщик/Обвальщик;+72313611928;petraksenov@rambler.ru;1938-09-24;133293
Синклитикия Макаровна Котова;Бугульма;ш. Радужное, д. 379 стр. 8/8;Саткинский чугуноплавильный завод;Шлифовщик;+7 041 023 7905;panovgorde@yahoo.com;1963-08-13;91969
Ермолай Ильясович Титов;Тула;алл. Тукая, д. 971 стр. 13;Инвестнефтетрейд;Художник;81544468430;antonovavera@rambler.ru;1947-06-30;126874
Максимова Элеонора Константиновна;Диксон;бул. Циолковского, д. 9 к. 91;Фармстандарт;Радиолог;8 736 182 86 40;oksana_2019@yandex.ru;1964-03-17;26837
Евгений Димитриевич Сысоев;Зеленогорск (Ленин.);пр. Станционный, д. 67 к. 192;Метро Кэш энд Керри (Metro Cash & Carry);Инфекционист;8 (188) 815-66-53;ivanovazoja@yahoo.com;1990-11-16;64801
Феликс Ильясович Зыков;Холмск;пр. Свободы, д. 50;ВО ЖДТ России;Холодильщик;+7 (190) 635-2943;fedot38@yahoo.com;1948-08-16;140953
Олимпиада Ефимовна Нестерова;Качканар;пер. Энергетический, д. 4 к. 797;Свеза;Следователь;+7 (704) 924-99-85;ratmir24@hotmail.com;1971-10-17;149760
Лукин Исай Якубович;Снежногорск (Мурм.);ш. Труда, д. 3/3 к. 547;СДС-Уголь;Военный полицейский;+7 (429) 734-1970;vissarionpestov@yandex.ru;1995-05-06;45545
Попов Святослав Фадеевич;Кондопога;ул. Звездная, д. 179;Саткинский чугуноплавильный завод;Пожарный;+7 608 467 1369;vatslavsidorov@hotmail.com;1976-07-23;151980
Софон Абрамович Степанов;Кондопога;ул. Ушакова, д. 881 к. 7/3;Госкорпорация по ОрВД;Зоолог;+77344486846;nknjazev@rambler.ru;1978-08-05;102913
Ия Сергеевна Воронова;Усть-Кулом;пр. Энергетический, д. 5/9 стр. 582;Концерн Титан-2;Доула;+74300143054;sigizmund91@hotmail.com;1946-05-30;113574
Гурьева Пелагея Аскольдовна;Ступино;наб. Войкова, д. 17 стр. 1/9;Нефтехимремстрой;Криптозоолог;+7 (185) 037-76-02;gordeevprov@yandex.ru;1997-08-27;147091
Андреев Любомир Ермилович;Курган;пр. Тюленина, д. 132 к. 9/9;Эбботт лэбораториз (Abbott Laboratories);Палеонтолог;89941059489;klimentponomarev@gmail.com;1991-07-28;162841
Валентина Семеновна Васильева;Орск;ш. Петровское, д. 58 стр. 914;Луидор;Рефлексотерапевт;8 389 781 2433;kazakovaeleonora@gmail.com;1991-04-19;126109
Исай Артемьевич Фролов;Новокузнецк;ул. Кольцова, д. 3/3 стр. 2/7;Ozon;Ортопед;8 (777) 432-3320;ostap42@yandex.ru;1994-08-22;158825
Акулина Даниловна Рыбакова;Березники;ш. Российское, д. 508 к. 4;Военторг;Оператор машинного доения;+7 301 662 13 85;maslovluka@hotmail.com;1999-10-18;188311
Лобанова Евфросиния Евгеньевна;Томари;алл. Космодемьянской, д. 1 стр. 47;Шелл Нефть (Shell);Астроном;+72286953802;veronika_93@rambler.ru;1954-09-18;159117
Тарас Афанасьевич Абрамов;Ербогачен;ш. Российское, д. 8 стр. 8/8;Импэкснефтехим;Десантник;8 (739) 001-07-38;pankrat66@gmail.com;2002-08-18;56549
